Country,Indicator,Year,Value
NIGERIA,Number of bed-places,2007,42723.0
NIGERIA,Occupancy rate / bed-places,2007,84.2
NIUE,Number of establishments,2007,9.0
NIUE,Number of rooms,2007,54.0
NIUE,Number of bed-places,2007,96.0
NIUE,Average length of stay,2007,7.0
NORTH MACEDONIA,Number of establishments,2007,188.0
NORTH MACEDONIA,Number of rooms,2007,7214.0
NORTH MACEDONIA,Number of bed-places,2007,17124.0
NORTH MACEDONIA,Occupancy rate / bed-places,2007,11.8
NORTH MACEDONIA,Average length of stay,2007,3.8
NORTHERN MARIANA ISLANDS,Number of establishments,2007,40.0
NORTHERN MARIANA ISLANDS,Number of rooms,2007,4011.0
NORTHERN MARIANA ISLANDS,Occupancy rate / rooms,2007,58.89
NORWAY,Number of establishments,2007,1112.0
NORWAY,Number of rooms,2007,70965.0
NORWAY,Number of bed-places,2007,154311.0
NORWAY,Occupancy rate / bed-places,2007,39.5
NORWAY,Average length of stay,2007,1.63
OMAN,Number of establishments,2007,190.0
OMAN,Number of rooms,2007,9298.0
OMAN,Number of bed-places,2007,14665.0
OMAN,Occupancy rate / rooms,2007,58.0
PAKISTAN,Number of establishments,2007,1886.0
PAKISTAN,Number of rooms,2007,43499.0
PAKISTAN,Number of bed-places,2007,65174.0
PAKISTAN,Occupancy rate / bed-places,2007,63.0
PANAMA,Number of rooms,2007,16158.0
PANAMA,Number of bed-places,2007,32035.0
PANAMA,Occupancy rate / rooms,2007,66.03
PANAMA,Average length of stay,2007,2.51
PAPUA NEW GUINEA,Average length of stay,2007,18.1
PARAGUAY,Number of establishments,2007,177.0
PARAGUAY,Number of rooms,2007,5560.0
PARAGUAY,Number of bed-places,2007,11943.0
PARAGUAY,Occupancy rate / bed-places,2007,46.0
PARAGUAY,Average length of stay,2007,2.5
PERU,Number of establishments,2007,10614.0
PERU,Number of rooms,2007,166240.0
PERU,Number of bed-places,2007,291607.0
PERU,Occupancy rate / rooms,2007,26.28
PERU,Occupancy rate / bed-places,2007,28.58
PERU,Average length of stay,2007,1.4
PHILIPPINES,Number of establishments,2007,451.0
PHILIPPINES,Number of rooms,2007,31523.0
PHILIPPINES,Number of bed-places,2007,63046.0
PHILIPPINES,Occupancy rate / bed-places,2007,73.06
PHILIPPINES,Average length of stay,2007,2.45
POLAND,Number of establishments,2007,2443.0
POLAND,Number of rooms,2007,93944.0
POLAND,Number of bed-places,2007,190387.0
POLAND,Occupancy rate / rooms,2007,44.1
POLAND,Occupancy rate / bed-places,2007,37.8
POLAND,Average length of stay,2007,2.9
PORTUGAL,Number of establishments,2007,2031.0
PORTUGAL,Number of rooms,2007,117976.0
PORTUGAL,Number of bed-places,2007,264747.0
PORTUGAL,Occupancy rate / rooms,2007,59.0
PORTUGAL,Occupancy rate / bed-places,2007,50.3
PORTUGAL,Average length of stay,2007,3.0
PUERTO RICO,Number of establishments,2007,169.0
PUERTO RICO,Number of rooms,2007,13417.0
PUERTO RICO,Occupancy rate / rooms,2007,68.7
PUERTO RICO,Average length of stay,2007,2.57
QATAR,Number of establishments,2007,43.0
QATAR,Number of rooms,2007,5422.0
REUNION,Number of establishments,2007,50.0
REUNION,Number of rooms,2007,2259.0
REUNION,Number of bed-places,2007,4518.0
REUNION,Occupancy rate / bed-places,2007,58.4
REUNION,Average length of stay,2007,6.7
ROMANIA,Number of establishments,2007,4163.0
ROMANIA,Number of rooms,2007,112177.0
ROMANIA,Number of bed-places,2007,228123.0
ROMANIA,Occupancy rate / bed-places,2007,36.0
ROMANIA,Average length of stay,2007,2.94
RUSSIAN FEDERATION,Number of establishments,2007,5900.0
RUSSIAN FEDERATION,Number of rooms,2007,219380.0
RUSSIAN FEDERATION,Number of bed-places,2007,447126.0
RUSSIAN FEDERATION,Occupancy rate / bed-places,2007,36.0
RWANDA,Number of establishments,2007,84.0
RWANDA,Number of rooms,2007,2937.0
RWANDA,Number of bed-places,2007,5370.0
SAINT LUCIA,Number of rooms,2007,4889.0
SAINT LUCIA,Occupancy rate / rooms,2007,64.9
SAINT LUCIA,Average length of stay,2007,9.08
SAINT VINCENT AND THE GRENADINES,Number of rooms,2007,2116.0
SAINT VINCENT AND THE GRENADINES,Number of bed-places,2007,4232.0
SAMOA,Number of rooms,2007,1166.0
SAMOA,Number of bed-places,2007,2525.0
SAN MARINO,Number of establishments,2007,30.0
SAN MARINO,Number of rooms,2007,767.0
SAN MARINO,Number of bed-places,2007,1729.0
SAN MARINO,Occupancy rate / bed-places,2007,56.5
SAN MARINO,Average length of stay,2007,1.69
SAUDI ARABIA,Number of establishments,2007,4012.0
SAUDI ARABIA,Number of rooms,2007,193720.0
SAUDI ARABIA,Number of bed-places,2007,440664.0
SAUDI ARABIA,Occupancy rate / rooms,2007,50.8
SAUDI ARABIA,Occupancy rate / bed-places,2007,43.7
SAUDI ARABIA,Average length of stay,2007,2.2
SENEGAL,Number of establishments,2007,815.0
SENEGAL,Number of rooms,2007,15842.0
SENEGAL,Number of bed-places,2007,31229.0
SENEGAL,Occupancy rate / bed-places,2007,34.59
SENEGAL,Average length of stay,2007,3.5
SERBIA,Number of establishments,2007,634.0
SERBIA,Number of rooms,2007,24023.0
SERBIA,Number of bed-places,2007,52547.0
SERBIA,Occupancy rate / rooms,2007,50.49
SERBIA,Occupancy rate / bed-places,2007,23.08
SERBIA,Average length of stay,2007,2.63
SEYCHELLES,Number of rooms,2007,2712.0
SEYCHELLES,Number of bed-places,2007,5460.0
SEYCHELLES,Occupancy rate / rooms,2007,60.0
SEYCHELLES,Occupancy rate / bed-places,2007,56.0
SIERRA LEONE,Number of establishments,2007,112.0
SIERRA LEONE,Number of bed-places,2007,2744.0
SIERRA LEONE,Occupancy rate / bed-places,2007,24.0
SIERRA LEONE,Average length of stay,2007,7.0
SINGAPORE,Number of establishments,2007,226.0
SINGAPORE,Number of rooms,2007,37624.0
SINGAPORE,Occupancy rate / rooms,2007,87.0
SINT MAARTEN (DUTCH PART),Number of rooms,2007,3444.0
SINT MAARTEN (DUTCH PART),Occupancy rate / bed-places,2007,52.4
SLOVAKIA,Number of establishments,2007,1701.0
SLOVAKIA,Number of rooms,2007,41569.0
SLOVAKIA,Number of bed-places,2007,105941.0
SLOVAKIA,Occupancy rate / bed-places,2007,33.7
SLOVAKIA,Average length of stay,2007,2.7
SLOVENIA,Number of establishments,2007,396.0
SLOVENIA,Number of rooms,2007,17251.0
SLOVENIA,Number of bed-places,2007,36247.0
SLOVENIA,Occupancy rate / bed-places,2007,47.42
SLOVENIA,Average length of stay,2007,2.96
SOLOMON ISLANDS,Number of rooms,2007,1258.0
SOLOMON ISLANDS,Number of bed-places,2007,2574.0
SOLOMON ISLANDS,Average length of stay,2007,14.0
SOUTH AFRICA,Number of establishments,2007,2555.0
SOUTH AFRICA,Number of rooms,2007,65900.0
SOUTH AFRICA,Occupancy rate / rooms,2007,50.6
SOUTH AFRICA,Average length of stay,2007,7.9
SPAIN,Number of establishments,2007,17827.0
SPAIN,Number of rooms,2007,821143.0
SPAIN,Number of bed-places,2007,1642417.0
SPAIN,Occupancy rate / bed-places,2007,56.02
SPAIN,Average length of stay,2007,3.22
SRI LANKA,Number of establishments,2007,758.0
SRI LANKA,Number of rooms,2007,19634.0
SRI LANKA,Number of bed-places,2007,35799.0
SRI LANKA,Occupancy rate / rooms,2007,46.2
STATE OF PALESTINE,Number of establishments,2007,82.0
STATE OF PALESTINE,Number of rooms,2007,4094.0
STATE OF PALESTINE,Number of bed-places,2007,8901.0
STATE OF PALESTINE,Occupancy rate / bed-places,2007,25.1
STATE OF PALESTINE,Average length of stay,2007,2.1
SUDAN,Number of establishments,2007,284.0
SUDAN,Number of rooms,2007,5854.0
SUDAN,Number of bed-places,2007,11800.0
SUDAN,Average length of stay,2007,8.0
SWEDEN,Number of establishments,2007,1893.0
SWEDEN,Number of rooms,2007,103793.0
SWEDEN,Number of bed-places,2007,207439.0
SWEDEN,Occupancy rate / bed-places,2007,37.2
SWEDEN,Average length of stay,2007,1.644835619984468
SWITZERLAND,Number of establishments,2007,5635.0
SWITZERLAND,Number of rooms,2007,141596.0
SWITZERLAND,Number of bed-places,2007,270146.0
SWITZERLAND,Occupancy rate / rooms,2007,53.25
SWITZERLAND,Occupancy rate / bed-places,2007,43.55
SWITZERLAND,Average length of stay,2007,2.33
SYRIAN ARAB REPUBLIC,Number of establishments,2007,632.0
SYRIAN ARAB REPUBLIC,Number of rooms,2007,20863.0
SYRIAN ARAB REPUBLIC,Number of bed-places,2007,47077.0
SYRIAN ARAB REPUBLIC,Occupancy rate / rooms,2007,67.0
TAIWAN PROVINCE OF CHINA,Number of establishments,2007,2735.0
TAIWAN PROVINCE OF CHINA,Number of rooms,2007,123497.0
TAIWAN PROVINCE OF CHINA,Occupancy rate / rooms,2007,67.16
"TANZANIA, UNITED REPUBLIC OF",Average length of stay,2007,12.0
THAILAND,Number of rooms,2007,344321.0
THAILAND,Occupancy rate / rooms,2007,53.69
TIMOR-LESTE,Number of establishments,2007,16.0
TIMOR-LESTE,Number of rooms,2007,620.0
TIMOR-LESTE,Number of bed-places,2007,764.0
TOGO,Number of establishments,2007,324.0
TOGO,Number of rooms,2007,5404.0
TOGO,Number of bed-places,2007,8002.0
TOGO,Occupancy rate / rooms,2007,9.7
TOGO,Average length of stay,2007,2.1
TRINIDAD AND TOBAGO,Number of rooms,2007,6048.0
TRINIDAD AND TOBAGO,Occupancy rate / rooms,2007,49.0
TUNISIA,Number of establishments,2007,834.0
TUNISIA,Number of rooms,2007,117864.0
TUNISIA,Number of bed-places,2007,235727.0
TUNISIA,Occupancy rate / bed-places,2007,51.7
TUNISIA,Average length of stay,2007,6.2
TÜRKIYE,Number of establishments,2007,2505.0
TÜRKIYE,Number of rooms,2007,251470.0
TÜRKIYE,Number of bed-places,2007,530763.0
TÜRKIYE,Occupancy rate / bed-places,2007,51.12
TÜRKIYE,Average length of stay,2007,2.94
TURKMENISTAN,Number of rooms,2007,970.0
TURKMENISTAN,Number of bed-places,2007,1675.0
TURKMENISTAN,Occupancy rate / bed-places,2007,19.0
TURKMENISTAN,Average length of stay,2007,8.0
TURKS AND CAICOS ISLANDS,Number of rooms,2007,2632.0
UKRAINE,Number of establishments,2007,1420.0
UKRAINE,Number of rooms,2007,61816.0
UKRAINE,Number of bed-places,2007,134557.0
UKRAINE,Average length of stay,2007,7.65
UNITED ARAB EMIRATES,Number of establishments,2007,538.0
UNITED ARAB EMIRATES,Number of rooms,2007,44800.0
UNITED KINGDOM,Number of establishments,2007,39860.0
UNITED KINGDOM,Number of rooms,2007,613346.0
UNITED KINGDOM,Number of bed-places,2007,1245064.0
UNITED KINGDOM,Occupancy rate / rooms,2007,62.0
UNITED KINGDOM,Occupancy rate / bed-places,2007,48.0
UNITED KINGDOM,Average length of stay,2007,2.28
UNITED STATES OF AMERICA,Number of establishments,2007,49672.0
UNITED STATES OF AMERICA,Number of rooms,2007,4476191.0
UNITED STATES OF AMERICA,Occupancy rate / bed-places,2007,63.1
UNITED STATES VIRGIN ISLANDS,Number of establishments,2007,46.0
UNITED STATES VIRGIN ISLANDS,Number of rooms,2007,4757.0
UNITED STATES VIRGIN ISLANDS,Occupancy rate / rooms,2007,64.4
UNITED STATES VIRGIN ISLANDS,Average length of stay,2007,4.4
URUGUAY,Number of rooms,2007,13216.0
URUGUAY,Number of bed-places,2007,30432.0
URUGUAY,Average length of stay,2007,5.08
UZBEKISTAN,Number of rooms,2007,9537.0
UZBEKISTAN,Number of bed-places,2007,17545.0
UZBEKISTAN,Occupancy rate / bed-places,2007,46.1
UZBEKISTAN,Average length of stay,2007,2.0
VANUATU,Number of rooms,2007,1219.0
VANUATU,Number of bed-places,2007,2450.0
VANUATU,Occupancy rate / rooms,2007,57.7
VANUATU,Average length of stay,2007,9.2
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Number of establishments,2007,1824.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Number of rooms,2007,74976.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Number of bed-places,2007,172433.0
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Occupancy rate / bed-places,2007,76.97
"VENEZUELA, BOLIVARIAN REPUBLIC OF",Average length of stay,2007,19.43
YEMEN,Number of establishments,2007,1163.0
YEMEN,Number of rooms,2007,23180.0
YEMEN,Number of bed-places,2007,52891.0
ZAMBIA,Number of establishments,2007,687.0
ZAMBIA,Number of rooms,2007,5549.0
ZAMBIA,Number of bed-places,2007,9660.0
ZAMBIA,Occupancy rate / rooms,2007,61.1
ZIMBABWE,Number of rooms,2007,6266.0
ZIMBABWE,Number of bed-places,2007,11609.0
ZIMBABWE,Occupancy rate / rooms,2007,43.0
ZIMBABWE,Occupancy rate / bed-places,2007,32.0
ZIMBABWE,Average length of stay,2007,3.0
ALBANIA,Number of rooms,2008,10112.0
ALBANIA,Number of bed-places,2008,20539.0
ALGERIA,Number of bed-places,2008,85000.0
ANDORRA,Number of establishments,2008,270.0
ANDORRA,Number of rooms,2008,13011.0
ANDORRA,Number of bed-places,2008,34514.0
ANDORRA,Average length of stay,2008,2.9
ANGOLA,Number of establishments,2008,81.0
ANGOLA,Occupancy rate / rooms,2008,89.0
ANGOLA,Occupancy rate / bed-places,2008,77.0
ANGUILLA,Number of establishments,2008,46.0
ANGUILLA,Number of rooms,2008,602.0
ANTIGUA AND BARBUDA,Number of rooms,2008,4673.0
ANTIGUA AND BARBUDA,Number of bed-places,2008,6075.0
ANTIGUA AND BARBUDA,Occupancy rate / rooms,2008,63.1
ANTIGUA AND BARBUDA,Occupancy rate / bed-places,2008,65.97
ARGENTINA,Number of establishments,2008,11377.0
ARGENTINA,Number of rooms,2008,211190.0
ARGENTINA,Number of bed-places,2008,540468.0
ARGENTINA,Occupancy rate / rooms,2008,43.27
ARGENTINA,Occupancy rate / bed-places,2008,33.66
ARGENTINA,Average length of stay,2008,2.34
ARMENIA,Number of establishments,2008,994.0
ARMENIA,Number of bed-places,2008,21040.0
ARMENIA,Occupancy rate / bed-places,2008,69.0
ARMENIA,Average length of stay,2008,10.0
ARUBA,Number of rooms,2008,9856.0
ARUBA,Number of bed-places,2008,19712.0
ARUBA,Occupancy rate / rooms,2008,76.6
AUSTRALIA,Number of establishments,2008,4277.0
AUSTRALIA,Number of rooms,2008,223319.0
AUSTRALIA,Number of bed-places,2008,637147.0
AUSTRALIA,Occupancy rate / rooms,2008,65.1
AUSTRALIA,Occupancy rate / bed-places,2008,40.4
AUSTRALIA,Average length of stay,2008,2.3
AUSTRIA,Number of establishments,2008,13756.0
AUSTRIA,Number of rooms,2008,286571.0
AUSTRIA,Number of bed-places,2008,579758.0
AUSTRIA,Occupancy rate / bed-places,2008,38.92
AUSTRIA,Average length of stay,2008,3.4
AZERBAIJAN,Number of establishments,2008,370.0
AZERBAIJAN,Number of rooms,2008,12789.0
AZERBAIJAN,Number of bed-places,2008,28286.0
AZERBAIJAN,Average length of stay,2008,3.1
BAHAMAS,Number of establishments,2008,281.0
BAHAMAS,Number of rooms,2008,16297.0
BAHAMAS,Number of bed-places,2008,32594.0
BAHAMAS,Occupancy rate / rooms,2008,54.1
BAHRAIN,Number of establishments,2008,101.0
BAHRAIN,Number of rooms,2008,8459.0
BAHRAIN,Occupancy rate / rooms,2008,60.5
BAHRAIN,Average length of stay,2008,2.1
BANGLADESH,Number of rooms,2008,4890.0
BANGLADESH,Number of bed-places,2008,11173.0
BANGLADESH,Occupancy rate / bed-places,2008,40.92
BARBADOS,Number of rooms,2008,6984.0
BELARUS,Number of establishments,2008,315.0
BELARUS,Number of rooms,2008,13876.0
BELARUS,Number of bed-places,2008,24437.0
BELARUS,Occupancy rate / rooms,2008,91.32
BELARUS,Occupancy rate / bed-places,2008,51.85
BELARUS,Average length of stay,2008,2.99
BELGIUM,Number of establishments,2008,2069.0
BELGIUM,Number of rooms,2008,67910.0
BELGIUM,Number of bed-places,2008,170914.0
BELIZE,Number of establishments,2008,620.0
BELIZE,Number of rooms,2008,6539.0
BELIZE,Number of bed-places,2008,11013.0
BELIZE,Occupancy rate / rooms,2008,41.1
BELIZE,Average length of stay,2008,8.39
BENIN,Number of establishments,2008,796.0
BENIN,Number of bed-places,2008,23523.0
BENIN,Occupancy rate / rooms,2008,58.67
BENIN,Occupancy rate / bed-places,2008,8.21
BENIN,Average length of stay,2008,3.75
BERMUDA,Number of establishments,2008,54.0
BERMUDA,Number of rooms,2008,2736.0
BERMUDA,Number of bed-places,2008,5538.0
BERMUDA,Occupancy rate / rooms,2008,59.1
BERMUDA,Average length of stay,2008,5.0
BHUTAN,Number of establishments,2008,132.0
BHUTAN,Number of rooms,2008,2004.0
BHUTAN,Number of bed-places,2008,3531.0
BHUTAN,Average length of stay,2008,7.8
"BOLIVIA, PLURINATIONAL STATE OF",Number of establishments,2008,1023.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of rooms,2008,21943.0
"BOLIVIA, PLURINATIONAL STATE OF",Number of bed-places,2008,35760.0
BONAIRE,Number of establishments,2008,83.0
BONAIRE,Number of rooms,2008,1256.0
BONAIRE,Number of bed-places,2008,3836.0
BONAIRE,Occupancy rate / bed-places,2008,69.0
BOSNIA AND HERZEGOVINA,Number of establishments,2008,335.0
BOSNIA AND HERZEGOVINA,Number of rooms,2008,11064.0
BOSNIA AND HERZEGOVINA,Number of bed-places,2008,23015.0
BOTSWANA,Number of rooms,2008,4942.0
BOTSWANA,Number of bed-places,2008,8681.0
BOTSWANA,Occupancy rate / rooms,2008,41.1
BOTSWANA,Occupancy rate / bed-places,2008,36.1
BOTSWANA,Average length of stay,2008,2.6
BRITISH VIRGIN ISLANDS,Number of establishments,2008,51.0
BRITISH VIRGIN ISLANDS,Number of rooms,2008,2219.0
BRITISH VIRGIN ISLANDS,Occupancy rate / rooms,2008,83.23
BRITISH VIRGIN ISLANDS,Occupancy rate / bed-places,2008,45.28
BRITISH VIRGIN ISLANDS,Average length of stay,2008,6.5
BULGARIA,Number of establishments,2008,1646.0
BULGARIA,Number of rooms,2008,117186.0
BULGARIA,Number of bed-places,2008,239706.0
BULGARIA,Occupancy rate / bed-places,2008,32.1
BULGARIA,Average length of stay,2008,3.6
BURKINA FASO,Occupancy rate / rooms,2008,47.7
BURKINA FASO,Occupancy rate / bed-places,2008,27.7
BURKINA FASO,Average length of stay,2008,2.7
CABO VERDE,Number of establishments,2008,158.0
CABO VERDE,Number of rooms,2008,6172.0
CABO VERDE,Number of bed-places,2008,11420.0
CABO VERDE,Occupancy rate / bed-places,2008,48.33
CABO VERDE,Average length of stay,2008,5.21
CAMBODIA,Number of establishments,2008,1323.0
CAMBODIA,Number of rooms,2008,32858.0
CAMBODIA,Number of bed-places,2008,55859.0
CAMBODIA,Occupancy rate / bed-places,2008,62.68
CAMEROON,Number of establishments,2008,2226.0
CAMEROON,Number of rooms,2008,33089.0
CAMEROON,Number of bed-places,2008,36485.0
CAMEROON,Occupancy rate / rooms,2008,20.08
CAMEROON,Occupancy rate / bed-places,2008,18.21
CAMEROON,Average length of stay,2008,1.36
CAYMAN ISLANDS,Number of rooms,2008,4332.0
CAYMAN ISLANDS,Occupancy rate / rooms,2008,62.2
CAYMAN ISLANDS,Average length of stay,2008,4.5
CENTRAL AFRICAN REPUBLIC,Number of rooms,2008,507.0
CENTRAL AFRICAN REPUBLIC,Number of bed-places,2008,665.0
CENTRAL AFRICAN REPUBLIC,Occupancy rate / rooms,2008,60.42
CENTRAL AFRICAN REPUBLIC,Average length of stay,2008,2.99
CHAD,Number of rooms,2008,1330.0
CHAD,Number of bed-places,2008,2178.0
CHILE,Number of establishments,2008,3701.0
CHILE,Number of rooms,2008,66481.0
CHILE,Number of bed-places,2008,144526.0
CHILE,Occupancy rate / rooms,2008,38.6
CHILE,Occupancy rate / bed-places,2008,28.5
CHILE,Average length of stay,2008,2.1
CHINA,Number of establishments,2008,14099.0
CHINA,Number of rooms,2008,1591379.0
CHINA,Number of bed-places,2008,2934758.0
CHINA,Occupancy rate / rooms,2008,58.3
CHINA,Average length of stay,2008,2.64
COLOMBIA,Occupancy rate / rooms,2008,54.1
COMOROS,Number of establishments,2008,39.0
COMOROS,Number of rooms,2008,245.0
COMOROS,Number of bed-places,2008,760.0
COMOROS,Average length of stay,2008,8.0
CONGO,Number of establishments,2008,727.0
CONGO,Number of rooms,2008,7509.0
CONGO,Number of bed-places,2008,15018.0
CONGO,Occupancy rate / rooms,2008,48.8
CONGO,Average length of stay,2008,3.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Occupancy rate / bed-places,2008,76.0
"CONGO, DEMOCRATIC REPUBLIC OF THE",Average length of stay,2008,4.0
COOK ISLANDS,Number of rooms,2008,1173.0
COOK ISLANDS,Number of bed-places,2008,3138.0
COOK ISLANDS,Occupancy rate / rooms,2008,52.7
COOK ISLANDS,Occupancy rate / bed-places,2008,46.1
COSTA RICA,Number of establishments,2008,2599.0
COSTA RICA,Number of rooms,2008,41759.0
COSTA RICA,Occupancy rate / rooms,2008,58.0
COTE D´IVOIRE,Number of establishments,2008,1774.0
COTE D´IVOIRE,Occupancy rate / rooms,2008,53.78
COTE D´IVOIRE,Average length of stay,2008,3.0
CROATIA,Number of establishments,2008,835.0
CROATIA,Number of rooms,2008,75996.0
CROATIA,Number of bed-places,2008,163546.0
CROATIA,Occupancy rate / bed-places,2008,34.17
CROATIA,Average length of stay,2008,4.07
CUBA,Number of establishments,2008,427.0
CUBA,Number of rooms,2008,49094.0
CUBA,Number of bed-places,2008,92672.0
CUBA,Occupancy rate / rooms,2008,60.1
CURAÇAO,Number of rooms,2008,4841.0
CURAÇAO,Occupancy rate / rooms,2008,84.99
CURAÇAO,Average length of stay,2008,7.28
CYPRUS,Number of establishments,2008,708.0
CYPRUS,Number of rooms,2008,42898.0
CYPRUS,Number of bed-places,2008,85681.0
CYPRUS,Occupancy rate / rooms,2008,60.97
CYPRUS,Occupancy rate / bed-places,2008,63.52
CYPRUS,Average length of stay,2008,6.27
CZECH REPUBLIC (CZECHIA),Number of establishments,2008,4482.0
CZECH REPUBLIC (CZECHIA),Number of rooms,2008,111775.0
CZECH REPUBLIC (CZECHIA),Number of bed-places,2008,257849.0
CZECH REPUBLIC (CZECHIA),Occupancy rate / rooms,2008,42.39
CZECH REPUBLIC (CZECHIA),Occupancy rate / bed-places,2008,35.73
CZECH REPUBLIC (CZECHIA),Average length of stay,2008,2.72
DENMARK,Number of establishments,2008,469.0
DENMARK,Number of rooms,2008,36923.0
DENMARK,Number of bed-places,2008,72775.0
DENMARK,Occupancy rate / rooms,2008,56.0
DENMARK,Occupancy rate / bed-places,2008,42.0
DJIBOUTI,Number of rooms,2008,677.0
DJIBOUTI,Number of bed-places,2008,807.0
DJIBOUTI,Occupancy rate / bed-places,2008,27.7
DOMINICA,Number of establishments,2008,96.0
DOMINICA,Number of rooms,2008,920.0
DOMINICA,Number of bed-places,2008,1386.0
DOMINICAN REPUBLIC,Number of establishments,2008,701.0
DOMINICAN REPUBLIC,Number of rooms,2008,66192.0
DOMINICAN REPUBLIC,Number of bed-places,2008,165290.0
DOMINICAN REPUBLIC,Occupancy rate / rooms,2008,70.4
DOMINICAN REPUBLIC,Average length of stay,2008,9.23
ECUADOR,Number of establishments,2008,2446.0
ECUADOR,Number of rooms,2008,62204.0
ECUADOR,Number of bed-places,2008,132391.0
EGYPT,Number of establishments,2008,1490.0
EGYPT,Number of rooms,2008,210847.0
EGYPT,Number of bed-places,2008,421694.0
EGYPT,Occupancy rate / rooms,2008,76.0
EL SALVADOR,Number of establishments,2008,352.0
EL SALVADOR,Number of rooms,2008,7967.0
EL SALVADOR,Number of bed-places,2008,14061.0
EL SALVADOR,Occupancy rate / bed-places,2008,59.0
EL SALVADOR,Average length of stay,2008,7.1
ERITREA,Number of establishments,2008,620.0
ERITREA,Number of rooms,2008,4761.0
ERITREA,Number of bed-places,2008,9912.0
ERITREA,Occupancy rate / bed-places,2008,34.36
ERITREA,Average length of stay,2008,3.4
ESTONIA,Number of establishments,2008,368.0
ESTONIA,Number of rooms,2008,14565.0
ESTONIA,Number of bed-places,2008,29760.0
ESTONIA,Occupancy rate / rooms,2008,42.81
ESTONIA,Occupancy rate / bed-places,2008,35.41
ESTONIA,Average length of stay,2008,1.91
ESWATINI,Number of establishments,2008,129.0
ESWATINI,Number of rooms,2008,1593.0
ESWATINI,Number of bed-places,2008,2778.0
ESWATINI,Occupancy rate / rooms,2008,47.76
ESWATINI,Occupancy rate / bed-places,2008,44.76
ESWATINI,Average length of stay,2008,1.23
ETHIOPIA,Number of rooms,2008,13683.0
ETHIOPIA,Number of bed-places,2008,17217.0
FIJI,Number of rooms,2008,9525.0
FIJI,Number of bed-places,2008,22352.0
FIJI,Occupancy rate / rooms,2008,45.2
FIJI,Occupancy rate / bed-places,2008,38.2
FINLAND,Number of establishments,2008,916.0
FINLAND,Number of rooms,2008,54844.0
FINLAND,Number of bed-places,2008,119182.0
FINLAND,Occupancy rate / rooms,2008,51.9
FINLAND,Occupancy rate / bed-places,2008,40.0
FINLAND,Average length of stay,2008,1.81
FRANCE,Number of establishments,2008,17487.0
FRANCE,Number of rooms,2008,612082.0
FRANCE,Number of bed-places,2008,1224164.0
FRANCE,Occupancy rate / rooms,2008,61.38
FRANCE,Average length of stay,2008,1.84
FRENCH GUIANA,Number of establishments,2008,24.0
FRENCH GUIANA,Number of rooms,2008,1169.0
FRENCH GUIANA,Occupancy rate / rooms,2008,57.5
FRENCH POLYNESIA,Number of establishments,2008,321.0
FRENCH POLYNESIA,Number of rooms,2008,4696.0
FRENCH POLYNESIA,Number of bed-places,2008,11681.0
FRENCH POLYNESIA,Occupancy rate / rooms,2008,53.3
FRENCH POLYNESIA,Average length of stay,2008,11.4
GAMBIA,Average length of stay,2008,7.0
GEORGIA,Number of establishments,2008,353.0
GEORGIA,Number of rooms,2008,8582.0
GEORGIA,Number of bed-places,2008,17573.0
GEORGIA,Average length of stay,2008,6.0
GERMANY,Number of establishments,2008,35984.0
GERMANY,Number of rooms,2008,915577.0
GERMANY,Number of bed-places,2008,1737890.0
GERMANY,Occupancy rate / bed-places,2008,36.5
GERMANY,Average length of stay,2008,2.17
GHANA,Number of establishments,2008,1595.0
GHANA,Number of rooms,2008,24410.0
GHANA,Number of bed-places,2008,29645.0
GHANA,Occupancy rate / rooms,2008,74.3
GREECE,Number of establishments,2008,9385.0
GREECE,Number of rooms,2008,375067.0
GREECE,Number of bed-places,2008,715857.0
GREECE,Occupancy rate / bed-places,2008,56.7
GREECE,Average length of stay,2008,4.1
GRENADA,Number of establishments,2008,81.0
GRENADA,Number of rooms,2008,1833.0
GRENADA,Number of bed-places,2008,2617.0
GRENADA,Average length of stay,2008,8.44
GUADELOUPE,Number of establishments,2008,75.0
GUADELOUPE,Number of rooms,2008,4542.0
GUADELOUPE,Occupancy rate / rooms,2008,56.7
GUADELOUPE,Average length of stay,2008,3.2
GUAM,Number of rooms,2008,9259.0
GUAM,Occupancy rate / rooms,2008,64.0
GUATEMALA,Number of establishments,2008,2640.0
GUATEMALA,Number of rooms,2008,43708.0
GUATEMALA,Number of bed-places,2008,109067.0
GUATEMALA,Occupancy rate / rooms,2008,48.01
GUATEMALA,Average length of stay,2008,1.16
GUYANA,Number of rooms,2008,2223.0
HONDURAS,Occupancy rate / rooms,2008,64.0
HONDURAS,Average length of stay,2008,6.0
"HONG KONG, CHINA",Number of establishments,2008,695.0
"HONG KONG, CHINA",Number of rooms,2008,60273.0
"HONG KONG, CHINA",Occupancy rate / rooms,2008,85.0
HUNGARY,Number of establishments,2008,2001.0
HUNGARY,Number of rooms,2008,65815.0
HUNGARY,Number of bed-places,2008,154521.0
HUNGARY,Occupancy rate / rooms,2008,43.8
HUNGARY,Occupancy rate / bed-places,2008,33.1
